datetime,packet_count_sum,total_bytes_sum
2025-09-02 17:44:50,37519,1694908
2025-09-02 17:45:00,34416,1582224
2025-09-02 17:45:10,25412,1138820
2025-09-02 17:45:20,26918,1229000
2025-09-02 17:45:30,14703,633560
2025-09-02 17:45:40,5754,246000
2025-09-02 17:45:50,2488762,97685632
2025-09-02 17:46:00,344958,15191400
2025-09-02 17:46:10,199079,8991968
2025-09-02 17:46:20,156929,7200196
2025-09-02 17:46:30,118426,5490892
2025-09-02 17:46:40,117257,5423824
2025-09-02 17:46:50,103866,4782632
2025-09-02 17:47:00,67617,3112884
2025-09-02 17:47:10,71671,3320628
2025-09-02 17:47:20,81351,3834356
2025-09-02 17:47:30,59082,2643568
2025-09-02 17:47:40,84948,3918852
2025-09-02 17:47:50,58901,2687004
2025-09-02 17:48:00,55346,2592420
2025-09-02 17:48:10,81434,3937828
2025-09-02 17:48:20,64504,2954344
2025-09-02 17:48:30,62586,2808868
2025-09-02 17:48:40,66309,3104160
2025-09-02 17:48:50,52079,2427076
2025-09-02 17:49:00,48194,2242404
2025-09-02 17:49:10,44692,2057544
2025-09-02 17:49:20,39652,1799260
2025-09-02 17:49:30,67083,3021716
2025-09-02 17:49:40,52795,2434148
2025-09-02 17:49:50,47133,2152900
2025-09-02 17:50:00,43366,2039476
2025-09-02 17:50:10,49620,2361552
2025-09-02 17:50:20,39204,1751072
2025-09-02 17:50:30,41069,1921244
2025-09-02 17:50:40,43199,2026072
2025-09-02 17:50:50,32153,1471176
2025-09-02 17:51:00,30213,1372836
2025-09-02 17:51:10,26011,1146352
2025-09-02 17:51:20,26387,1172352
2025-09-02 17:51:30,20849,934572
2025-09-02 17:51:40,13275,578092
2025-09-02 17:51:50,2136777,83271436
2025-09-02 17:52:00,645859,27867896
2025-09-02 17:52:10,217763,9858556
2025-09-02 17:52:20,155110,6862880
2025-09-02 17:52:30,123385,5693512
2025-09-02 17:52:40,147180,7009144
2025-09-02 17:52:50,80010,3689292
2025-09-02 17:53:00,90745,4142032
2025-09-02 17:53:10,75158,3491784
2025-09-02 17:53:20,89937,4230328
2025-09-02 17:53:30,83602,3962288
2025-09-02 17:53:40,66987,3085196
2025-09-02 17:53:50,54515,2521072
2025-09-02 17:54:00,66461,3139776
2025-09-02 17:54:10,55599,2518512
2025-09-02 17:54:20,49264,2294972
2025-09-02 17:54:30,60180,2826616
2025-09-02 17:54:40,70996,3429452
2025-09-02 17:54:50,50632,2351540
2025-09-02 17:55:00,57391,2678744
2025-09-02 17:55:10,54383,2565244
2025-09-02 17:55:20,52443,2437864
2025-09-02 17:55:30,42520,1963912
2025-09-02 17:55:40,48499,2297936
2025-09-02 17:55:50,41501,1820520
2025-09-02 17:56:00,50267,2380252
2025-09-02 17:56:10,37773,1746552
2025-09-02 17:56:20,40502,1917076
2025-09-02 17:56:30,35607,1651096
2025-09-02 17:56:40,42750,2006056
2025-09-02 17:56:50,39710,1854668
2025-09-02 17:57:00,33693,1574996
2025-09-02 17:57:10,28850,1307144
2025-09-02 17:57:20,24980,1130008
2025-09-02 17:57:30,22476,996144
2025-09-02 17:57:40,20808,952600
2025-09-02 17:57:50,5687,241172
2025-09-02 17:58:00,2506860,100395296
2025-09-02 17:58:10,312792,13424784
2025-09-02 17:58:20,192394,8748876
2025-09-02 17:58:30,171513,8020012
2025-09-02 17:58:40,128584,5927228
2025-09-02 17:58:50,114428,5353260
2025-09-02 17:59:00,95793,4503436
2025-09-02 17:59:10,99278,4423244
2025-09-02 17:59:20,62569,2932308
2025-09-02 17:59:30,79965,3747092
2025-09-02 17:59:40,72590,3379700
2025-09-02 17:59:50,56347,2553428
2025-09-02 18:00:00,75082,3582108
2025-09-02 18:00:10,58999,2767688
2025-09-02 18:00:20,72983,3502000
2025-09-02 18:00:30,62908,2954532
2025-09-02 18:00:40,45565,2121632
2025-09-02 18:00:50,70757,3371168
2025-09-02 18:01:00,52929,2486844
2025-09-02 18:01:10,44717,2051520
2025-09-02 18:01:20,45340,2108380
2025-09-02 18:01:30,58596,2777768
2025-09-02 18:01:40,52540,2450056
2025-09-02 18:01:50,42532,1953804
2025-09-02 18:02:00,56204,2660456
2025-09-02 18:02:10,49077,2244220
2025-09-02 18:02:20,42578,1981688
2025-09-02 18:02:30,37999,1703584
2025-09-02 18:02:40,41992,1957720
2025-09-02 18:02:50,38274,1777864
2025-09-02 18:03:00,34199,1573572
2025-09-02 18:03:10,29064,1334548
2025-09-02 18:03:20,26522,1196404
2025-09-02 18:03:30,24785,1109336
2025-09-02 18:03:40,26223,1214516
2025-09-02 18:03:50,14720,637896
2025-09-02 18:04:00,1648194,65199448
2025-09-02 18:04:10,871906,38437828
2025-09-02 18:04:20,270574,12319856
2025-09-02 18:04:30,163337,7559632
2025-09-02 18:04:40,136167,6362968
2025-09-02 18:04:50,128649,5985588
2025-09-02 18:05:00,116922,5304224
2025-09-02 18:05:10,111092,5094876
2025-09-02 18:05:20,84726,3584748
2025-09-02 18:05:30,77499,3557336
2025-09-02 18:05:40,84271,4001048
2025-09-02 18:05:50,74830,3449440
2025-09-02 18:06:00,71730,3385392
2025-09-02 18:06:10,74383,3566496
2025-09-02 18:06:20,54505,2551436
2025-09-02 18:06:30,75187,3597288
2025-09-02 18:06:40,62287,2921132
2025-09-02 18:06:50,67386,3140616
2025-09-02 18:07:00,63287,2920728
2025-09-02 18:07:10,57705,2730596
2025-09-02 18:07:20,58388,2738584
2025-09-02 18:07:30,49895,2297988
2025-09-02 18:07:40,47470,2178928
2025-09-02 18:07:50,63092,2931064
2025-09-02 18:08:00,56150,2551220
2025-09-02 18:08:10,44020,2014944
2025-09-02 18:08:20,48717,2250516
2025-09-02 18:08:30,52171,2482080
2025-09-02 18:08:40,41087,1891144
2025-09-02 18:08:50,41432,1916360
2025-09-02 18:09:00,36232,1662292
2025-09-02 18:09:10,37114,1732208
2025-09-02 18:09:20,35353,1638296
2025-09-02 18:09:30,32777,1524156
2025-09-02 18:09:40,31982,1489212
2025-09-02 18:09:50,19458,863188
2025-09-02 18:10:00,12327,526892
2025-09-02 18:10:10,1765066,72238808
2025-09-02 18:10:20,768099,34013124
2025-09-02 18:10:30,363229,16066504
2025-09-02 18:10:40,211164,9452616
2025-09-02 18:10:50,144094,6481956
2025-09-02 18:11:00,107902,4810368
2025-09-02 18:11:10,88999,3947956
2025-09-02 18:11:20,80805,3616352
2025-09-02 18:11:30,76371,3478504
2025-09-02 18:11:40,71014,3115844
2025-09-02 18:11:50,69252,3132588
2025-09-02 18:12:00,59537,2656832
2025-09-02 18:12:10,58053,2639968
2025-09-02 18:12:20,51900,2341344
2025-09-02 18:12:30,48578,2145396
2025-09-02 18:12:40,49598,2216176
2025-09-02 18:12:50,40972,1841092
2025-09-02 18:13:00,38776,1727688
2025-09-02 18:13:10,41191,1883372
2025-09-02 18:13:20,72459,3354576
2025-09-02 18:13:30,96856,4479928
2025-09-02 18:13:40,85998,3943644
2025-09-02 18:13:50,59740,2684016
2025-09-02 18:14:00,51354,2318516
2025-09-02 18:14:10,45244,2020756
2025-09-02 18:14:20,43315,1957272
2025-09-02 18:14:30,36079,1615520
2025-09-02 18:14:40,37225,1653624
2025-09-02 18:14:50,38770,1748848
2025-09-02 18:15:00,36659,1674068
2025-09-02 18:15:10,32547,1445164
2025-09-02 18:15:20,32926,1466356
2025-09-02 18:15:30,32538,1422504
2025-09-02 18:15:40,27086,1182744
